Marna 1 5.26 F
Adena 1 2.6 F
Sam 1 5.96 M
Ganny 1 4.44 M
Holly1anne 2 3.79 F
Rossie 1 1.59 M
Cairistiona 1 4.71 F
Sib 1 2.96 F
Gardener 1 1.79 M
Tiffy 1 3.71 F
Boony 1 2.29 M
Janaye 1 1.11 F
Cordie 1 2.65 M
Geralda 1 4.84 F
Dorian 1 5.54 F
Launce 1 3.88 M
Gordon 1 3.21 M
Lise 1 1.12 F
Rosene 1 3.67 F
Callean 1 4.5 M
Nara 1 1.76 F
Ivor 1 1.72 M
Mischa 1 1.79 M
Laura 1 3.88 F
Silvio 1 3.77 M
Ilaire 1 3.92 M
Ambur 1 2.35 F
Lewie 1 3.33 M
Rowen 1 1.01 M
Ruthann 1 1.63 F
Moise 1 5.91 M
Cinda 1 5.46 F
Vonni 1 4.1 F
Windham 1 2.85 M
Joseph 1 2.41 M
Theobald 1 4.8 M
Mona 1 1.3 F
Armin 1 4.96 M
Elroy 1 3.53 M
Cristiano 1 1.03 M
Eartha 1 4.7 F
Davey 1 5.69 M
Simon 1 3.54 M
Ilsa 1 1.78 F
Ailsun 1 5.43 F
Marley 1 3.83 F
Mathilde 1 2.5 F
Rodolfo 1 2.58 M
Carley 1 1.89 F
Zulema 1 1.1 F
Amalea 1 1.92 F
Irene 1 2.88 F
Erv 1 2.64 M
Fawn 1 5.68 F
Cathi 1 5.6 F
Philippine 1 4.94 F
Stefania 1 5.45 F
Fabien 1 3.94 M
Livvie 1 3.07 F
Ellie 1 1.3 F
Rozina 1 4.06 F
Fairfax 1 1.67 M
Oriana 1 1.12 F
Husein 1 1.49 M
Frederica 1 3.11 F
Ede 1 5.56 F
Izabel 1 1.07 F
Zack 1 3.51 M
Pancho 1 1.93 M
Bevon 1 3.46 M
Willamina 1 2.1 F
Darryl 1 3.31 M
Antons 1 1.32 M
Vanni 1 4.8 F
Byram 1 4.23 M
Gratia 1 1.99 F
Arluene 1 3.77 F
Raynell 1 4.49 F
